鄉鎮,政黨,當選數,候選數,年份
觀音鄉,無,14,22,79
觀音鄉,中國國民黨,9,14,79
大溪鎮,無,9,16,79
大溪鎮,中國國民黨,13,22,79
大園鄉,無,6,11,79
大園鄉,中國國民黨,7,12,79
大園鄉,民主進步黨,0,1,79
龜山鄉,無,9,18,79
龜山鄉,中國國民黨,9,19,79
平鎮鄉,無,9,17,79
平鎮鄉,中國國民黨,23,34,79
桃園市,無,21,37,79
桃園市,中國國民黨,21,39,79
桃園市,民主進步黨,0,1,79
八德鄉,無,10,19,79
八德鄉,中國國民黨,17,37,79
蘆竹鄉,無,6,10,79
蘆竹鄉,中國國民黨,10,14,79
中壢市,無,18,37,79
中壢市,中國國民黨,29,61,79
中壢市,民主進步黨,0,2,79
龍潭鄉,無,3,5,79
龍潭鄉,中國國民黨,16,27,79
復興鄉,無,0,1,79
復興鄉,中國國民黨,10,22,79
楊梅鎮,無,10,14,79
楊梅鎮,青年中國黨,0,1,79
楊梅鎮,中國國民黨,15,29,79
新屋鄉,無,7,18,79
新屋鄉,中國國民黨,16,27,79
觀音鄉,無,18,36,83
觀音鄉,中國國民黨,4,9,83
觀音鄉,民主進步黨,1,1,83
大溪鎮,無,14,33,83
大溪鎮,中國國民黨,8,14,83
大園鄉,無,11,27,83
大園鄉,中國國民黨,8,13,83
龜山鄉,無,13,35,83
龜山鄉,中國國民黨,6,11,83
桃園市,無,34,72,83
桃園市,中國國民黨,22,31,83
桃園市,民主進步黨,0,1,83
八德鄉,無,15,35,83
八德鄉,中國國民黨,20,39,83
八德鄉,民主進步黨,0,1,83
蘆竹鄉,無,19,31,83
蘆竹鄉,中國國民黨,4,8,83
平鎮市,無,15,42,83
平鎮市,中國國民黨,26,42,83
中壢市,無,21,75,83
中壢市,中國國民黨,30,44,83
中壢市,民主進步黨,0,2,83
龍潭鄉,無,6,16,83
龍潭鄉,中國國民黨,13,27,83
復興鄉,無,7,19,83
復興鄉,中國國民黨,3,7,83
楊梅鎮,無,11,38,83
楊梅鎮,中國國民黨,14,22,83
新屋鄉,無,11,30,83
新屋鄉,中國國民黨,11,16,83
新屋鄉,民主進步黨,1,4,83
觀音鄉,無,18,41,87
觀音鄉,中國國民黨,4,9,87
觀音鄉,民主進步黨,1,1,87
大溪鎮,無,19,61,87
大溪鎮,中國國民黨,7,15,87
大溪鎮,民主進步黨,1,1,87
大園鄉,無,10,28,87
大園鄉,中國國民黨,9,14,87
龜山鄉,無,13,45,87
龜山鄉,中國國民黨,13,25,87
龜山鄉,民主進步黨,0,2,87
桃園市,無,50,136,87
